age,gender,country,prefecture,wish_original,wish_ja,wish_en,wish_zh,wish_ko,flag,timestamp
70-,女性,日本,福島県,トラウマが癒え、心が軽くなりますように,トラウマが癒え、心が軽くなりますように,May the trauma heal and the heart be lighter,愿创伤愈合，心脏更轻,외상 치유와 심장이 더 가벼워지기를 바랍니다,🇯🇵,2025-05-04 23:52:11
61-70,女性,韓国,,컨퍼런스 프레젠테이션이 큰 성공이되기를 바랍니다,学会発表が大成功しますように,I hope the conference presentation will be a great success,我希望会议演讲将取得巨大的成功,컨퍼런스 프레젠테이션이 큰 성공이되기를 바랍니다.,🇰🇷,2025-05-04 23:52:11
70-,女性,日本,香川県,アイデア会議が盛り上がりますように,アイデア会議が盛り上がりますように,I hope the idea meeting will be lively,我希望这个想法会很活跃,아이디어 회의가 활기차게되기를 바랍니다,🇯🇵,2025-05-04 23:52:11
51-60,男性,中国,,希望您的学生生活会令人难忘,学生生活が思い出深いものになりますように,I hope your student life will be memorable,希望您的学生生活会令人难忘,학생의 삶이 기억에 남기를 바랍니다,🇨🇳,2025-05-04 23:52:11
61-70,男性,ベネズエラ,,I hope that we can respond flexibly to sudden changes in specifications,急な仕様変更に柔軟に対応できますように,I hope that we can respond flexibly to sudden changes in specifications.,我希望我们可以灵活地对规格突然变化的反应。,사양의 갑작스런 변화에 유연하게 반응 할 수 있기를 바랍니다.,🇻🇪,2025-05-04 23:52:11
31-40,女性,日本,福井県,自己否定の声が静かになりますように,自己否定の声が静かになりますように,May the voices of self-denial be quiet,愿自我克服的声音保持安静,자기 부정의 목소리가 조용해지기를 바랍니다,🇯🇵,2025-05-04 23:52:11
-10,男性,ボリビア,,I hope you can always borrow your favorite books in the library,図書室で好きな本がいつも借りられますように,I hope you can always borrow your favorite books in the library,希望您总是可以在图书馆借您喜欢的书,도서관에서 항상 좋아하는 책을 빌릴 수 있기를 바랍니다.,🇧🇴,2025-05-04 23:52:11
51-60,男性,ホンジュラス,,I hope you can submit your graduation thesis safely,卒論を無事に提出できますように,I hope you can submit your graduation thesis safely,希望您可以安全地提交毕业论文,졸업 논문을 안전하게 제출할 수 있기를 바랍니다,🇭🇳,2025-05-04 23:52:11
70-,女性,日本,福井県,仕事とプライベートを両立できますように,仕事とプライベートを両立できますように,I hope you can balance work and personal life,希望您能平衡工作和个人生活,나는 당신이 일과 개인적인 삶의 균형을 맞출 수 있기를 바랍니다,🇯🇵,2025-05-04 23:52:11
41-50,回答しない,日本,兵庫県,貧富の差が縮まりますように,貧富の差が縮まりますように,I hope the gap between rich and poor will be narrowed,我希望富人与穷人之间的差距将被缩小,부자와 가난한 사람의 격차가 좁아 지길 바랍니다.,🇯🇵,2025-05-04 23:52:11
70-,男性,日本,広島県,世界全体で再生可能エネルギーが主流になりますように,世界全体で再生可能エネルギーが主流になりますように,I hope that renewable energy will become the mainstream worldwide,我希望可再生能源将成为全球主流,재생 에너지가 전 세계적으로 주류가되기를 바랍니다.,🇯🇵,2025-05-04 23:52:11
41-50,男性,日本,茨城県,経済成長が持続可能な形で実現しますように,経済成長が持続可能な形で実現しますように,I hope that economic growth will be realized in a sustainable way,我希望经济增长将以可持续的方式实现,경제 성장이 지속 가능한 방식으로 실현되기를 바랍니다.,🇯🇵,2025-05-04 23:52:11
11-20,女性,日本,山梨県,海外留学できますように,海外留学できますように,I hope you can study abroad,我希望你可以出国学习,해외에서 공부할 수 있기를 바랍니다,🇯🇵,2025-05-04 23:52:11
61-70,男性,韓国,,전 세계의 언어로시를 쓸 수 있기를 바랍니다,世界中の言語で詩を詠めるようになりますように,I hope you can write poetry in languages ​​all over the world,我希望你可以用全世界的语言写诗歌,전 세계의 언어로시를 쓸 수 있기를 바랍니다.,🇰🇷,2025-05-04 23:52:11
41-50,男性,日本,山形県,独立が成功しますように,独立が成功しますように,May independence succeed,愿独立成功,독립이 성공할 수 있습니다,🇯🇵,2025-05-04 23:52:11
70-,男性,日本,宮崎県,地域の自然が守られますように,地域の自然が守られますように,I hope that the nature of the area is protected,我希望该地区的性质受到保护,지역의 본질이 보호되기를 바랍니다.,🇯🇵,2025-05-04 23:52:11
11-20,女性,タンザニア,,I hope the exams go well,受験がうまくいきますように,I hope the exams go well,我希望考试顺利,시험이 잘되기를 바랍니다,🇹🇿,2025-05-04 23:52:11
-10,女性,日本,福島県,テストで100点取れますように,テストで100点取れますように,I hope I get 100 points on the test,我希望我在测试中得到100分,테스트에서 100 포인트를 얻기를 바랍니다,🇯🇵,2025-05-04 23:52:11
31-40,男性,南アフリカ,,May ideas change the world,アイデアが世界を変えますように,May ideas change the world,五月的想法改变了世界,아이디어가 세상을 바꾸기를 바랍니다,🇿🇦,2025-05-04 23:52:11
31-40,男性,日本,長野県,親友が見つかりますように,親友が見つかりますように,I hope you find a best friend,希望你能找到一个最好的朋友,나는 당신이 가장 친한 친구를 찾기를 바랍니다,🇯🇵,2025-05-04 23:52:11
31-40,男性,日本,三重県,世界中の言語で詩を詠めるようになりますように,世界中の言語で詩を詠めるようになりますように,I hope you can write poetry in languages ​​all over the world,我希望你可以用全世界的语言写诗歌,전 세계의 언어로시를 쓸 수 있기를 바랍니다.,🇯🇵,2025-05-04 23:52:11
41-50,女性,韓国,,나는 당신이 플래시로 자격 시험을 통과하기를 바랍니다,資格試験に一発合格しますように,I hope you pass the qualification exam in a flash,我希望你通过闪光灯通过资格考试,나는 당신이 플래시로 자격 시험을 통과하기를 바랍니다.,🇰🇷,2025-05-04 23:52:11
-10,男性,韓国,,새 자전거를 살 수 있기를 바랍니다,新しい自転車が買ってもらえますように,I hope you can buy a new bike,希望您可以买一辆新自行车,새 자전거를 살 수 있기를 바랍니다,🇰🇷,2025-05-04 23:52:11
41-50,男性,グアテマラ,,I hope you find a best friend,親友が見つかりますように,I hope you find a best friend,希望你能找到一个最好的朋友,나는 당신이 가장 친한 친구를 찾기를 바랍니다,🇬🇹,2025-05-04 23:52:11
61-70,女性,イラン,,I hope that the lecture notes can be organized properly,講義ノートがしっかり整理できますように,I hope that the lecture notes can be organized properly,我希望可以正确组织讲义,강의 노트가 제대로 구성 될 수 있기를 바랍니다.,🇮🇷,2025-05-04 23:52:11
41-50,男性,ナイジェリア,,I hope you can join a world tour as a professional dancer,プロのダンサーとして世界ツアーに参加できますように,I hope you can join a world tour as a professional dancer,希望您能参加专业舞者参加世界巡回演唱会,프로 댄서로 월드 투어에 참여할 수 있기를 바랍니다.,🇳🇬,2025-05-04 23:52:11
-10,女性,日本,奈良県,先生に怒られませんように,先生に怒られませんように,I hope the teacher doesn't get mad,我希望老师不会生气,선생님이 화 내지 않기를 바랍니다,🇯🇵,2025-05-04 23:52:11
-10,男性,日本,兵庫県,給食でカレーが毎週出ますように,給食でカレーが毎週出ますように,I hope curry will be served every week in school lunches,我希望咖喱每周都会在学校午餐,나는 학교 점심으로 매주 카레가 제공되기를 바랍니다.,🇯🇵,2025-05-04 23:52:11
61-70,男性,フランス,,J'espère que vous n'abandonnez pas vos rêves,夢をあきらめずに進めますように,I hope you don't give up on your dreams,我希望你不要放弃自己的梦想,나는 당신이 당신의 꿈을 포기하지 않기를 바랍니다,🇫🇷,2025-05-04 23:52:11
-10,男性,エジプト,,I want the summer vacation to be longer,夏休みが長くなってほしい,I want the summer vacation to be longer,我希望暑假更长,나는 여름 방학이 더 길기를 원합니다,🇪🇬,2025-05-04 23:52:11
70-,女性,パプアニューギニア,,I hope that technical problems will be resolved soon,技術的な問題が早く解決しますように,I hope that technical problems will be resolved soon,我希望技术问题能尽快解决,기술적 문제가 곧 해결되기를 바랍니다,🇵🇬,2025-05-04 23:52:11
-10,女性,日本,秋田県,お友だちがずっと仲良くしてくれますように,お友だちがずっと仲良くしてくれますように,I hope my friends will always be friends,我希望我的朋友永远是朋友,내 친구들이 항상 친구가되기를 바랍니다,🇯🇵,2025-05-04 23:52:11
31-40,女性,日本,石川県,感情の波が穏やかになりますように,感情の波が穏やかになりますように,May the waves of emotion be calm,愿情感浪潮保持平静,감정의 파도가 침착 해 지길 바랍니다,🇯🇵,2025-05-04 23:52:11
70-,男性,オランダ,,I hope you will discover new learning,新しい学びに出会えますように,I hope you will discover new learning,希望您能发现新的学习,새로운 학습을 발견하시기 바랍니다,🇳🇱,2025-05-04 23:52:11
70-,女性,日本,徳島県,家族旅行で最高の思い出が作れますように,家族旅行で最高の思い出が作れますように,I hope you can make the best memories on your family trip,希望您能在家庭旅行中留下最好的回忆,가족 여행에서 최고의 추억을 만들 수 있기를 바랍니다.,🇯🇵,2025-05-04 23:52:11
61-70,男性,コロンビア,,Espero que puedas pasar tu tiempo en la escuela en paz,学校内で安心して過ごせますように,I hope you can spend your time at school in peace,我希望你能和平学校度过,학교에서 평화롭게 시간을 보낼 수 있기를 바랍니다.,🇨🇦,2025-05-04 23:52:11
21-30,男性,アメリカ合衆国,,I hope your student life will be memorable,学生生活が思い出深いものになりますように,I hope your student life will be memorable,希望您的学生生活会令人难忘,학생의 삶이 기억에 남기를 바랍니다,🇺🇸,2025-05-04 23:52:11
21-30,女性,日本,岡山県,子ども向けに科学を楽しく教える教室を開けますように,子ども向けに科学を楽しく教える教室を開けますように,I hope we can open a classroom that teaches science for children in a fun way.,我希望我们可以开设一个教室，以有趣的方式教授儿童科学。,나는 우리가 아이들을위한 과학을 재미있는 방식으로 가르치는 교실을 열 수 있기를 바랍니다.,🇯🇵,2025-05-04 23:52:11
-10,男性,フランス,,J'espère que vous deviendrez un joueur de relais à la journée sportive,運動会でリレーの選手になれますように,I hope you will become a relay player at the sports day,希望您在运动日成为接力运动员,스포츠 데이에 릴레이 플레이어가 되길 바랍니다.,🇫🇷,2025-05-04 23:52:11
70-,男性,イギリス,,I hope that cooperation between departments will be strengthened,部署間の連携が強化されますように,I hope that cooperation between departments will be strengthened,我希望部门之间的合作将得到加强,부서 간 협력이 강화되기를 바랍니다,🇬🇧,2025-05-04 23:52:11
21-30,男性,日本,山形県,伝説的なサッカーチームの一員になれますように,伝説的なサッカーチームの一員になれますように,I hope you become part of the legendary soccer team,希望您成为传奇足球队的一部分,전설적인 축구 팀의 일원이되기를 바랍니다.,🇯🇵,2025-05-04 23:52:11
21-30,男性,ホンジュラス,,I hope that our family will be prepared to prevent disasters,家族で災害に強い備えができますように,I hope that our family will be prepared to prevent disasters,我希望我们的家人准备预防灾难,우리 가족이 재난을 예방할 준비가되기를 바랍니다.,🇭🇳,2025-05-04 23:52:11
-10,男性,中国,,我希望我在测试中得到100分,テストで100点取れますように,I hope I get 100 points on the test,我希望我在测试中得到100分,테스트에서 100 포인트를 얻기를 바랍니다,🇨🇳,2025-05-04 23:52:11
21-30,女性,ガーナ,,I hope you will be involved in restoring historic buildings,歴史的建造物の修復に携われますように,I hope you will be involved in restoring historic buildings.,希望您能参与恢复历史建筑。,역사적인 건물을 복원하는 데 참여하기를 바랍니다.,🇬🇭,2025-05-04 23:52:11
41-50,男性,日本,愛媛県,家族で趣味を楽しむ時間が増えますように,家族で趣味を楽しむ時間が増えますように,I hope you will have more time to enjoy your hobbies with your family,希望您有更多时间与家人一起享受您的爱好,가족과 함께 취미를 즐길 시간이 더 있기를 바랍니다.,🇯🇵,2025-05-04 23:52:11
11-20,女性,パナマ,,I hope you will be selected as the executive committee of the school festival,文化祭の実行委員に選ばれますように,I hope you will be selected as the executive committee of the school festival,希望您将被选为学校节日的执行委员会,학교 축제의 집행위원회로 선정되기를 바랍니다.,🇵🇦,2025-05-04 23:52:11
61-70,女性,日本,岩手県,高齢者が安心して暮らせる支援が拡充しますように,高齢者が安心して暮らせる支援が拡充しますように,We hope that we will expand support so that the elderly can live in peace,我们希望我们能扩大支持，以便老年人可以和平生活,노인이 평화롭게 살 수 있도록 지원을 확대하기를 바랍니다.,🇯🇵,2025-05-04 23:52:11
11-20,男性,日本,群馬県,推しのライブチケットが当たりますように,推しのライブチケットが当たりますように,I hope you win a live ticket from my favorite,希望您从我最喜欢的,제가 가장 좋아하는 라이브 티켓을 얻었 으면 좋겠어요,🇯🇵,2025-05-04 23:52:11
-10,男性,ホンジュラス,,I hope my friends will always be friends,お友だちがずっと仲良くしてくれますように,I hope my friends will always be friends,我希望我的朋友永远是朋友,내 친구들이 항상 친구가되기를 바랍니다,🇭🇳,2025-05-04 23:52:11
31-40,男性,日本,埼玉県,感情の波が穏やかになりますように,感情の波が穏やかになりますように,May the waves of emotion be calm,愿情感浪潮保持平静,감정의 파도가 침착 해 지길 바랍니다,🇯🇵,2025-05-04 23:52:11
61-70,女性,日本,愛知県,地域の高齢化対策が進みますように,地域の高齢化対策が進みますように,I hope that measures to combat the aging of the community will progress,我希望与社区老化的措施能够进步,지역 사회의 노화와 싸우는 조치가 진행되기를 바랍니다.,🇯🇵,2025-05-04 23:52:11
-10,男性,ウルグアイ,,I hope everyone gets along well,みんな仲良くなりますように,I hope everyone gets along well,我希望每个人都相处得很好,모두가 잘 지내길 바랍니다,🇺🇾,2025-05-04 23:52:11
70-,女性,ウルグアイ,,I hope that the policy of accepting immigration proceeds smoothly,移民受け入れ政策が円滑に進みますように,I hope that the policy of accepting immigration proceeds smoothly,我希望接受移民的政策顺利进行,이민을 수락하는 정책이 순조롭게 진행되기를 바랍니다.,🇺🇾,2025-05-04 23:52:11
31-40,男性,中国,,希望您不要陷入过去的错误,過去の失敗に囚われないようになりますように,I hope you don't get caught up in past mistakes,希望您不要陷入过去的错误,과거의 실수에 빠지지 않기를 바랍니다.,🇨🇳,2025-05-04 23:52:11
11-20,女性,韓国,,좋아하는 선생님이 당신을 찬양하기를 바랍니다,好きな先生に褒められますように,I hope your favorite teacher will praise you,我希望你最喜欢的老师会赞美你,좋아하는 선생님이 당신을 찬양하기를 바랍니다,🇰🇷,2025-05-04 23:52:11
-10,男性,日本,鹿児島県,みんな仲良くなりますように,みんな仲良くなりますように,I hope everyone gets along well,我希望每个人都相处得很好,모두가 잘 지내길 바랍니다,🇯🇵,2025-05-04 23:52:11
70-,男性,日本,宮城県,家族で自然と触れ合う時間が持てますように,家族で自然と触れ合う時間が持てますように,I hope that the family will have time to interact with nature,我希望这个家庭有时间与大自然互动,가족이 자연과 상호 작용할 시간이 있기를 바랍니다.,🇯🇵,2025-05-04 23:52:11
61-70,回答しない,日本,福島県,笑顔の時間が増えますように,笑顔の時間が増えますように,I hope you have more time to smile,我希望你有更多的微笑,나는 당신이 웃을 시간이 더 있기를 바랍니다,🇯🇵,2025-05-04 23:52:11
61-70,女性,韓国,,직장에서의 관계가 향상되기를 바랍니다,職場の人間関係が改善しますように,I hope that the relationships at work will improve,我希望工作中的关系会有所改善,직장에서의 관계가 향상되기를 바랍니다,🇰🇷,2025-05-04 23:52:11
51-60,男性,イギリス,,I hope that technical debts will be resolved,技術的負債が解消されますように,I hope that technical debts will be resolved,我希望技术债务将得到解决,기술 부채가 해결되기를 바랍니다,🇬🇧,2025-05-04 23:52:11
70-,女性,スウェーデン,,I hope my relationship with my parents improves,親との関係がよくなりますように,I hope my relationship with my parents improves,我希望我与父母的关系有所改善,부모님과의 관계가 향상되기를 바랍니다,🇸🇪,2025-05-04 23:52:11
41-50,女性,スウェーデン,,I hope that more dinner time will be spent with family around food,家族で料理を囲む夕食の時間が増えますように,I hope that more dinner time will be spent with family around food,我希望将更多的晚餐时间与家人一起度过,나는 더 많은 저녁 시간이 음식 주위에 가족과 함께 보낼 수 있기를 바랍니다.,🇸🇪,2025-05-04 23:52:11
21-30,女性,日本,京都府,地球温暖化の影響が緩和されますように,地球温暖化の影響が緩和されますように,I hope that the effects of global warming will be reduced,我希望全球变暖的影响将减少,지구 온난화의 영향이 줄어들기를 바랍니다.,🇯🇵,2025-05-04 23:52:11
31-40,女性,日本,長崎県,俳優として活躍できますように,俳優として活躍できますように,I hope you can work as an actor,我希望你能作为演员工作,배우로 일할 수 있기를 바랍니다,🇯🇵,2025-05-04 23:52:11
70-,男性,日本,岡山県,地域のスポーツ大会が成功しますように,地域のスポーツ大会が成功しますように,I hope that local sports competitions will be successful,我希望当地的体育比赛将取得成功,지역 스포츠 대회가 성공하기를 바랍니다,🇯🇵,2025-05-04 23:52:11
51-60,男性,中国,,我希望该地区有更多社交空间,地域内の交流スペースが増えますように,I hope that more social spaces will be available in the area,我希望该地区有更多社交空间,이 지역에서 더 많은 사회적 공간을 이용할 수 있기를 바랍니다.,🇨🇳,2025-05-04 23:52:11
21-30,男性,日本,佐賀県,家族みんなで笑い合う機会が増えますように,家族みんなで笑い合う機会が増えますように,I hope that the whole family will have more opportunities to laugh together,我希望整个家庭将有更多的机会一起笑,온 가족이 함께 웃을 수있는 더 많은 기회가 있기를 바랍니다.,🇯🇵,2025-05-04 23:52:11
21-30,女性,ジャマイカ,,I hope that renewable energy will become the mainstream worldwide,世界全体で再生可能エネルギーが主流になりますように,I hope that renewable energy will become the mainstream worldwide,我希望可再生能源将成为全球主流,재생 에너지가 전 세계적으로 주류가되기를 바랍니다.,🇯🇲,2025-05-04 23:52:11
-10,女性,日本,長崎県,雨の日でも教室で楽しく遊べますように,雨の日でも教室で楽しく遊べますように,Hope you can have fun playing in the classroom even on rainy days,希望即使在下雨天，您也可以在课堂上玩得开心,비오는 날에도 교실에서 재미있게 놀 수 있기를 바랍니다.,🇯🇵,2025-05-04 23:52:11
21-30,男性,日本,山口県,家族で旅行に行けますように,家族で旅行に行けますように,I hope you can go on a trip with your family,我希望你能和家人一起旅行,나는 당신이 당신의 가족과 함께 여행 할 수 있기를 바랍니다.,🇯🇵,2025-05-04 23:52:11
41-50,男性,日本,兵庫県,世界中で芸術が花開きますように,世界中で芸術が花開きますように,May art blossom all over the world,愿世界各地的艺术开花,전 세계에서 예술이 꽃을 피울 수 있습니다,🇯🇵,2025-05-04 23:52:11
61-70,女性,イタリア,,I hope you can go to work or school every day,毎日元気に仕事や学校に行けますように,I hope you can go to work or school every day,希望您每天都能上班或上学,매일 직장이나 학교에 갈 수 있기를 바랍니다.,🇮🇹,2025-05-04 23:52:11
51-60,回答しない,トルコ,,I hope you can meet your family members who live separately on a regular basis,離れて暮らす家族と定期的に会えますように,I hope you can meet your family members who live separately on a regular basis,希望您能与您的家人定期见面,정기적으로 별도로 사는 가족을 만날 수 있기를 바랍니다.,🇹🇷,2025-05-04 23:52:11
21-30,女性,日本,佐賀県,ツールの操作ミスが減りますように,ツールの操作ミスが減りますように,I hope that tool operation will be reduced,我希望该工具操作将减少,도구 작동이 줄어들기를 바랍니다,🇯🇵,2025-05-04 23:52:11
-10,男性,日本,山口県,毎日給食がおかわり自由になりますように,毎日給食がおかわり自由になりますように,I hope you will be able to have free refills of lunches every day,希望您每天都能免费提供午餐的免费补充,매일 점심을 무료로 리필 할 수 있기를 바랍니다.,🇯🇵,2025-05-04 23:52:11
41-50,男性,韓国,,부자와 가난한 사람의 격차가 좁아 지길 바랍니다,貧富の差が縮まりますように,I hope the gap between rich and poor will be narrowed,我希望富人与穷人之间的差距将被缩小,부자와 가난한 사람의 격차가 좁아 지길 바랍니다.,🇰🇷,2025-05-04 23:52:11
11-20,男性,日本,高知県,受験がうまくいきますように,受験がうまくいきますように,I hope the exams go well,我希望考试顺利,시험이 잘되기를 바랍니다,🇯🇵,2025-05-04 23:52:11
61-70,回答しない,ガーナ,,I hope you will have more time to enjoy your hobbies with your family,家族で趣味を楽しむ時間が増えますように,I hope you will have more time to enjoy your hobbies with your family,希望您有更多时间与家人一起享受您的爱好,가족과 함께 취미를 즐길 시간이 더 있기를 바랍니다.,🇬🇭,2025-05-04 23:52:11
61-70,男性,韓国,,과잉 작업이 완화되기를 바랍니다,業務過多が緩和されますように,I hope that over-work will be alleviated,我希望过度工作会得到缓解,과잉 작업이 완화되기를 바랍니다,🇰🇷,2025-05-04 23:52:11
51-60,女性,日本,富山県,チームの士気が向上しますように,チームの士気が向上しますように,I hope the team will improve morale,我希望团队能改善士气,팀이 사기를 향상시키기를 바랍니다,🇯🇵,2025-05-04 23:52:11
61-70,男性,日本,群馬県,家族が互いに支え合えますように,家族が互いに支え合えますように,I hope that our families can support each other,我希望我们的家人可以互相支持,나는 우리 가족이 서로를 지원할 수 있기를 바랍니다,🇯🇵,2025-05-04 23:52:11
21-30,女性,フィジー,,I hope it will be made into a film based on a real person,実在する人物をモデルに映画化されますように,I hope it will be made into a film based on a real person.,我希望它将制作成一个真正的人。,나는 그것이 실제 사람을 기반으로 한 영화로 만들어 지길 바랍니다.,🇫🇯,2025-05-04 23:52:11
-10,女性,日本,福島県,学芸会で主役になれますように,学芸会で主役になれますように,I hope you will be the main character at the school festival,希望您能成为学校节的主角,학교 축제에서 주인공이 되길 바랍니다.,🇯🇵,2025-05-04 23:52:11
61-70,女性,日本,福島県,地域の自然が守られますように,地域の自然が守られますように,I hope that the nature of the area is protected,我希望该地区的性质受到保护,지역의 본질이 보호되기를 바랍니다.,🇯🇵,2025-05-04 23:52:11
61-70,男性,南アフリカ,,I hope you can learn and grow from your mistakes,失敗から学び成長できますように,I hope you can learn and grow from your mistakes,希望您可以从错误中学习并成长,실수로 배우고 성장할 수 있기를 바랍니다.,🇿🇦,2025-05-04 23:52:11
11-20,男性,チリ,,I hope you will continue to concentrate on studying at the test,テスト勉強の集中力が続きますように,I hope you will continue to concentrate on studying at the test,希望您将继续专注于考试中的学习,시험에서 공부하는 데 계속 집중하시기 바랍니다.,🇨🇱,2025-05-04 23:52:11
11-20,男性,フィジー,,I hope that a new cafe will be opened on the school route,通学路にカフェが新しくできますように,I hope that a new cafe will be opened on the school route,我希望在学校路线上开设新咖啡馆,학교 경로에서 새로운 카페가 열리기를 바랍니다.,🇫🇯,2025-05-04 23:52:11
31-40,回答しない,イギリス,,I hope that your bond with your brothers and sisters will deepen further,兄弟姉妹との絆がさらに深まりますように,I hope that your bond with your brothers and sisters will deepen further,我希望您与兄弟姐妹的联系将进一步加深,형제 자매와의 유대가 더 깊어 지길 바랍니다.,🇬🇧,2025-05-04 23:52:11
41-50,女性,日本,滋賀県,自分のアイデアが評価されますように,自分のアイデアが評価されますように,I hope your ideas are appreciated,希望您的想法得到赞赏,당신의 아이디어가 감사하길 바랍니다,🇯🇵,2025-05-04 23:52:11
21-30,女性,日本,秋田県,環境保護のノーベル賞を受賞できますように,環境保護のノーベル賞を受賞できますように,I hope you will win the Nobel Prize in Environmental Protection,希望您能赢得诺贝尔环境保护奖,환경 보호에서 노벨상을 수상하시기 바랍니다.,🇯🇵,2025-05-04 23:52:11
61-70,女性,オランダ,,I hope you will always be motivated to work,仕事へのモチベーションが常に高まりますように,I hope you will always be motivated to work,希望您永远有动力,나는 당신이 항상 일하도록 동기를 부여하기를 바랍니다,🇳🇱,2025-05-04 23:52:11
70-,女性,中国,,我希望过度工作会得到缓解,業務過多が緩和されますように,I hope that over-work will be alleviated,我希望过度工作会得到缓解,과잉 작업이 완화되기를 바랍니다,🇨🇳,2025-05-04 23:52:11
61-70,男性,日本,京都府,高齢者が安心して暮らせる支援が拡充しますように,高齢者が安心して暮らせる支援が拡充しますように,We hope that we will expand support so that the elderly can live in peace,我们希望我们能扩大支持，以便老年人可以和平生活,노인이 평화롭게 살 수 있도록 지원을 확대하기를 바랍니다.,🇯🇵,2025-05-04 23:52:11
-10,回答しない,ホンジュラス,,I hope I get 100 points on the test,テストで100点取れますように,I hope I get 100 points on the test,我希望我在测试中得到100分,테스트에서 100 포인트를 얻기를 바랍니다,🇭🇳,2025-05-04 23:52:11
31-40,男性,日本,和歌山県,絶望感が薄れ、希望を見いだせますように,絶望感が薄れ、希望を見いだせますように,May the sense of hope fade away and we can find hope,愿希望的感觉消失了，我们可以找到希望,희망의 감각이 사라지고 우리는 희망을 찾을 수 있습니다,🇯🇵,2025-05-04 23:52:11
41-50,男性,日本,埼玉県,家族全員が毎日笑顔で過ごせますように,家族全員が毎日笑顔で過ごせますように,I hope that the whole family can spend every day with a smile,我希望整个家庭都能每天都带着微笑,온 가족이 매일 미소로 보낼 수 있기를 바랍니다.,🇯🇵,2025-05-04 23:52:11
70-,女性,日本,福島県,挑戦が成功しますように,挑戦が成功しますように,May the challenge be successful,愿挑战成功,도전이 성공하기를 바랍니다,🇯🇵,2025-05-04 23:52:11
31-40,男性,日本,高知県,チームの負荷分散がうまくいきますように,チームの負荷分散がうまくいきますように,I hope that teams can balance their load well,我希望团队能够很好地平衡他们的负担,팀이 짐 균형을 잘 맞출 수 있기를 바랍니다,🇯🇵,2025-05-04 23:52:11
51-60,男性,日本,京都府,地域の自然が守られますように,地域の自然が守られますように,I hope that the nature of the area is protected,我希望该地区的性质受到保护,지역의 본질이 보호되기를 바랍니다.,🇯🇵,2025-05-04 23:52:11
41-50,女性,日本,徳島県,フレックスタイム制度が活用できますように,フレックスタイム制度が活用できますように,I hope that the flextime system can be utilized,我希望可以使用弹性系统,FlexTime 시스템이 활용 될 수 있기를 바랍니다,🇯🇵,2025-05-04 23:52:11
61-70,男性,日本,静岡県,良い出会いがありますように,良い出会いがありますように,I hope you have a good encounter,我希望你有一个很好的相遇,나는 당신이 좋은 만남이 있기를 바랍니다,🇯🇵,2025-05-04 23:52:11
61-70,女性,韓国,,영어를 유창하게 말할 수 있기를 바랍니다,英語をペラペラに話せるようになりますように,I hope you can speak English fluently,我希望你能说流利的英语,영어를 유창하게 말할 수 있기를 바랍니다,🇰🇷,2025-05-04 23:52:11
41-50,男性,ドイツ,,"Ich hoffe, dass der kulturelle Austausch aktiv durchgeführt wird",文化交流が活発に行われますように,I hope that cultural exchanges will be carried out actively,我希望文化交流将积极进行,문화 교류가 적극적으로 수행되기를 바랍니다.,🇩🇪,2025-05-04 23:52:11
61-70,男性,中国,,可能会在全国范围内传播区域振兴,地方創生が全国に波及しますように,May regional revitalization spread throughout the country,可能会在全国范围内传播区域振兴,지역 활성화가 전국에 퍼지기를 바랍니다,🇨🇳,2025-05-04 23:52:11
21-30,男性,ボリビア,,I hope that work style reforms will be steadily realized,働き方改革が着実に実現しますように,I hope that work style reforms will be steadily realized,我希望工作风格的改革将稳步实现,작업 스타일 개혁이 꾸준히 실현되기를 바랍니다.,🇧🇴,2025-05-04 23:52:11
41-50,男性,日本,千葉県,夢をあきらめずに進めますように,夢をあきらめずに進めますように,I hope you don't give up on your dreams,我希望你不要放弃自己的梦想,나는 당신이 당신의 꿈을 포기하지 않기를 바랍니다,🇯🇵,2025-05-04 23:52:11
31-40,女性,日本,静岡県,若者のUターン・Iターンが活発になりますように,若者のUターン・Iターンが活発になりますように,I hope that young people have more active U-turns and I-turns,我希望年轻人有更多活跃的掉头和i-turns,젊은이들이 더 활발한 U 턴과 I 턴을하기를 바랍니다.,🇯🇵,2025-05-04 23:52:11
41-50,男性,メキシコ,,Espero que sean reconocidos como chef en un restaurante superior,一流レストランでシェフとして認められますように,I hope you will be recognized as a chef at a top restaurant,希望您能在一家顶级餐厅被认可为厨师,나는 당신이 최고 레스토랑에서 요리사로 인정 받기를 바랍니다.,🇲🇽,2025-05-04 23:52:11
70-,女性,日本,青森県,マイクロマネジメントがなくなりますように,マイクロマネジメントがなくなりますように,I hope micromanagement will disappear,我希望微管理会消失,소액 관리가 사라지기를 바랍니다,🇯🇵,2025-05-04 23:52:11
61-70,女性,ボリビア,,I hope you can challenge a new market,新しい市場に挑戦できますように,I hope you can challenge a new market,希望您能挑战新市场,새로운 시장에 도전 할 수 있기를 바랍니다,🇧🇴,2025-05-04 23:52:11
21-30,女性,日本,福岡県,地元の学校と地域が連携できますように,地元の学校と地域が連携できますように,I hope local schools and local communities can work together,我希望当地的学校和当地社区可以一起合作,지역 학교와 지역 사회가 함께 일할 수 있기를 바랍니다.,🇯🇵,2025-05-04 23:52:11
